host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
1989397,Dominique,Botafogo,Private room,199,1,5,2,365
76228107,Veronica,Copacabana,Entire home/apt,999,1,0,1,364
35222545,Rubens,Barra da Tijuca,Entire home/apt,451,15,1,2,87
56248956,Reinaldo,Barra da Tijuca,Entire home/apt,800,3,0,1,364
89723500,Nilza,Leblon,Entire home/apt,146,3,9,3,61
22805631,Latin Exclusive,Lagoa,Entire home/apt,488,4,2,75,365
82102278,André,Humaitá,Private room,222,1,4,2,364
28834837,Juliana,Humaitá,Entire home/apt,199,1,39,1,315
163630461,Jack,Leblon,Private room,86,1,1,2,365
166029195,Bamboo Rio,Copacabana,Private room,199,1,0,2,195
85392029,Ana,Barra da Tijuca,Entire home/apt,541,3,0,1,365
144686368,Carlos,Barra da Tijuca,Entire home/apt,162,4,9,1,226
47904056,Pedro Paulo,Lagoa,Private room,180,2,1,2,357
114043415,Ricardo,Barra da Tijuca,Private room,180,2,1,3,88
6845710,Diego,Botafogo,Private room,214,1,0,1,365
59624792,Claudia,Jacarepaguá,Entire home/apt,781,1,0,2,364
13498004,Fabio,Barra da Tijuca,Entire home/apt,488,4,0,7,365
83358303,Alberto,Jacarepaguá,Entire home/apt,999,1,0,1,364
12997352,Ricardo,Santa Teresa,Private room,120,4,0,2,363
2580713,Paula,Santa Teresa,Private room,199,1,15,6,305
56030370,Alexandre,Barra da Tijuca,Private room,199,3,1,1,92
137306244,Amanda,Barra da Tijuca,Entire home/apt,379,1,0,2,363
4995708,Gabriela,Humaitá,Private room,180,1,0,1,365
26555239,Patrícia,Barra da Tijuca,Entire home/apt,338,6,1,1,171
23760010,Bruno,Barra da Tijuca,Entire home/apt,1799,5,0,1,358
50547576,Luiz,Centro,Entire home/apt,349,4,0,1,178
68157574,Leandro,Barra da Tijuca,Entire home/apt,4999,30,0,1,365
34538238,Marilena,Santa Teresa,Private room,436,1,0,1,365
57029559,Tatiane,Barra da Tijuca,Entire home/apt,398,2,0,1,165
75894056,Diogo,Barra da Tijuca,Entire home/apt,548,3,11,1,147
57858014,Daniel,Santa Teresa,Entire home/apt,376,7,1,1,365
152342650,Custódio,Centro,Entire home/apt,146,3,7,1,339
14163574,Tatiana,Copacabana,Private room,79,2,1,2,363
5644414,Felipe,Centro,Entire home/apt,120,5,1,1,347
56175496,Anuncio Cancelado!,Maracanã,Shared room,601,5,0,1,363
12701789,Ciro,Botafogo,Private room,120,1,0,1,365
41498928,Fabiola,Centro,Entire home/apt,109,1,26,1,90
32429803,Milton,Barra da Tijuca,Entire home/apt,7501,1,0,5,365
88712815,Rodrigo,Jacarepaguá,Entire home/apt,1750,6,0,1,88
